rank,team,rating,record,best_win,best_win_elo
1,UC San Diego,1828.4,16-9,Hawai’i,1783.5
2,Hawai’i,1783.5,17-5,UC San Diego,1828.4
3,UC Irvine,1694.1,16-8,UC San Diego,1828.4
4,UC Davis,1690.6,15-9,Nevada,1953.3
5,Santa Barbara,1676.7,16-8,UC San Diego,1828.4
6,CSU Northridge,1516.1,15-10,UC San Diego,1828.4
7,Fullerton,1509.5,12-13,UC San Diego,1828.4
8,UC Riverside,1393.8,8-17,Fullerton,1509.5
9,Long Beach St,1368.5,8-16,CSU Northridge,1516.1
10,Cal Poly,1343.3,9-16,UC San Diego,1828.4
11,Bakersfield,1230.9,8-17,UC Davis,1690.6
